Event Log

MAC Address,Prim. MAC Address,Channel,Type,Module (from),Module (to),Message,Time stamp
04:bf:6d:5e:26:78,04:bf:6d:5e:26:7b,11 (2462 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""04:bf:6d:5e:26:79"" , ""channel"" : 153 , ""bandwidth"" : 80}], deassociateStaList=[b4:ae:2b:c6:2e:50], frequencySetBy=10}",2019-03-06 12:02
04:bf:6d:5e:12:8c,04:bf:6d:5e:12:8f,11 (2462 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""04:bf:6d:5e:12:8d"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[cc:fa:00:b5:65:de], frequencySetBy=10}",2019-03-06 11:41
b8:ec:a3:2f:bd:5c,b8:ec:a3:2f:bd:5f,1 (2412 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:5d"" , ""channel"" : 161 , ""bandwidth"" : 80}], deassociateStaList=[8c:f5:a3:cf:a6:39], frequencySetBy=10}",2019-03-06 10:51
b8:ec:a3:2f:bd:2c,b8:ec:a3:2f:bd:2f,1 (2412 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:2d"" , ""channel"" : 157 , ""bandwidth"" : 80}], deassociateStaList=[f0:0f:ec:f8:01:ac], frequencySetBy=10}",2019-03-06 10:18
b8:ec:a3:2f:bd:34,b8:ec:a3:2f:bd:37,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:35"" , ""channel"" : 157 , ""bandwidth"" : 80}], deassociateStaList=[88:66:a5:ba:5b:1b], frequencySetBy=10}",2019-03-06 09:06
04:bf:6d:5e:26:68,04:bf:6d:5e:26:6b,11 (2462 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""04:bf:6d:5e:26:69"" , ""channel"" : 157 , ""bandwidth"" : 80}], deassociateStaList=[04:d6:aa:66:76:5a], frequencySetBy=10}",2019-03-06 06:36
04:bf:6d:5e:26:68,04:bf:6d:5e:26:6b,11 (2462 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""04:bf:6d:5e:26:69"" , ""channel"" : 157 , ""bandwidth"" : 80}], deassociateStaList=[04:d6:aa:66:76:5a], frequencySetBy=10}",2019-03-06 06:32
b8:ec:a3:2f:bd:5c,b8:ec:a3:2f:bd:5f,1 (2412 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:5d"" , ""channel"" : 161 , ""bandwidth"" : 80}], deassociateStaList=[8c:f5:a3:cf:a6:39], frequencySetBy=10}",2019-03-06 04:41
b8:ec:a3:2f:bd:34,b8:ec:a3:2f:bd:37,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:35"" , ""channel"" : 157 , ""bandwidth"" : 80}], deassociateStaList=[54:b1:21:d4:37:2c], frequencySetBy=10}",2019-03-06 04:30
04:bf:6d:5e:12:64,04:bf:6d:5e:12:67,1 (2412 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""04:bf:6d:5e:12:65"" , ""channel"" : 161 , ""bandwidth"" : 80}], deassociateStaList=[58:82:a8:64:a7:f1], frequencySetBy=10}",2019-03-06 04:18
