Epoch(every hour),Managed AP - primary MAC,Band/Frequency,Zone,Pixel,# managed,# >-50 dBm,# >-62 dBm AND <=-50dBm,# >-80 dBm AND <=-62dBm,Average RSSI,Standard Deviation,Min RSSI,Max RSSI,# unmanaged,# >-50 dBm,# >-62 dBm AND <=-50dBm,# >-80 dBm AND <=-62dBm,Average RSSI,Standard Deviation,Min RSSI,Max RSSI
1551848400,b8:ec:a3:2f:bd:5f,2.4,Z_347_283_1,17359_14158_1,12,1,2,3,-73.32,14.17,-89.00,-49.43,19,0,1,5,-81.43,7.53,-87.99,-57.32
1551848400,b8:ec:a3:2f:bd:5f,2412,Z_347_283_1,17359_14158_1,3,0,1,1,-70.00,9.90,-81.00,-57.00,12,0,0,3,-83.68,3.35,-87.99,-78.00
1551848400,b8:ec:a3:2f:bd:5f,5,Z_347_283_1,17359_14158_1,9,2,2,2,-68.78,15.89,-87.00,-44.00,22,0,0,12,-80.36,3.67,-88.00,-76.00
1551848400,b8:ec:a3:2f:bd:5f,5805,Z_347_283_1,17359_14158_1,0,0,0,0,0.00,0.00,0.00,0.00,1,0,0,0,-85.00,0.00,-85.00,-85.00
1551848400,04:bf:6d:5e:11:8b,2.4,Z_347_283_2,17374_14184_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,04:bf:6d:5e:11:8b,2437,Z_347_283_2,17374_14184_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,04:bf:6d:5e:11:8b,5,Z_347_283_2,17374_14184_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,04:bf:6d:5e:11:8b,5765,Z_347_283_2,17374_14184_2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,04:bf:6d:5e:11:8f,2.4,Z_347_283_2,17367_14171_2,4,0,2,2,-69.16,8.35,-78.00,-60.40,10,0,0,4,-81.37,6.84,-94.99,-69.31
1551848400,04:bf:6d:5e:11:8f,2437,Z_347_283_2,17367_14171_2,2,0,1,1,-68.70,8.30,-77.00,-60.40,7,0,0,3,-82.43,6.52,-94.99,-76.00
1551848400,04:bf:6d:5e:11:8f,5,Z_347_283_2,17367_14171_2,13,1,0,7,-75.38,10.94,-86.99,-48.00,40,0,5,10,-79.25,9.95,-89.00,-53.00
1551848400,04:bf:6d:5e:11:8f,5745,Z_347_283_2,17367_14171_2,4,0,0,2,-77.74,8.29,-86.99,-68.99,8,0,0,1,-82.87,3.02,-87.99,-78.00
1551848400,04:bf:6d:5e:11:93,2.4,Z_347_283_2,17361_14167_2,6,0,1,4,-72.56,8.14,-81.00,-57.17,23,0,1,19,-74.73,6.54,-87.00,-54.00
1551848400,04:bf:6d:5e:11:93,2412,Z_347_283_2,17361_14167_2,5,0,0,4,-75.64,4.76,-81.00,-67.11,16,0,1,13,-73.94,7.25,-87.00,-54.00
